AMS;Aeropuerto de Amsterdam-Schiphol;Amsterdam
ABC;Aeropuerto de Albacete;Albacete
BCN;Aeropuerto de Barcelona-El Prat;Barcelona
BIO;Aeropuerto de Bilbao;Bilbao
DME;Aeropuerto Internacional de Moscu-Domodedovo;Moscu
DXB;Aeropuerto internacional de Dubai;Dubai
EDI;Aeropuerto de Edimburgo;Edimburgo
FDO;Aeropuerto Internacional de San Fernando;San Fernando
FNC;Aeropuerto Internacional Cristiano Ronaldo;Funchal
GIB;Aeropuerto de Gibraltar;Gibraltar
GRX;Aeropuerto de Granada;Granada
HKG;Aeropuerto Internacional de Hong Kong;Hong Kong
HND;Aeropuerto Internacional de Haneda;Tokio
ICN;Aeropuerto Internacional de Incheon;Incheon
MAD;Aeropuerto Adolfo Suarez Madrid-Barajas;Madrid
